Company,Location,DateTime,Details,Outcome
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Wed Dec 05, 2001 22:19 UTC",Space Shuttle Endeavour | STS-108,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Nov 27, 2001 05:59 UTC",Ariane 44LP | DirecTV-4S,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Oct 25, 2001 11:34 UTC",Molniya-M /Block ML | Molniya-3 n†­171,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Oct 22, 2001 10:23 UTC","PSLV-G | TES, BIRD & PROBA",Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Thu Oct 18, 2001 18:51 UTC",Delta II 7320-10C | QuickBird,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Oct 11, 2001 02:32 UTC",Atlas IIAS | NROL-12,Success
Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Fri Oct 05, 2001 21:21 UTC",Titan IV(404)B | NROL-14 (KH-11 Kennen),Success
Lockheed,"LP-1, Pacific Spaceport Complex, Alaska, USA","Sun Sep 30, 2001 02:40 UTC",Athena I | Starshine 3 & Others,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Sep 25, 2001 23:21 UTC",Ariane 44P | Atlantic Bird 2,Success
Northrop,"SLC-576E, Vandenberg AFB, California, USA","Fri Sep 21, 2001 18:49 UTC",Minotaur C (Taurus) | Orbview-4/QuikTOMS,Failure
Lockheed,"SLC-3E, Vandenberg AFB, California, USA","Sun Sep 09, 2001 15:25 UTC",Atlas IIAS | NROL-13 (Intruder FA & 5B),Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Aug 30, 2001 06:46 UTC",Ariane 44L | Intelsat 902,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Wed Aug 29, 2001 07:00 UTC",H-IIA 202 | VEP 2 & LRE,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 10, 2001 21:10 UTC",Space Shuttle Discovery | STS-105,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Wed Aug 08, 2001 16:13 UTC",Delta II 7326 | Genesis Probe,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Aug 06, 2001 07:28 UTC",Titan IV(402)B | DSP,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Mon Jul 23, 2001 07:23 UTC",Atlas IIA | GOES-M,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Jul 20, 2001 00:17 UTC",Molniya-M /Block ML | Molniya-3K n†­170,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jul 12, 2001 21:58 UTC",Ariane 5 G | Artemis & BSAT-2b,Partial Failure
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu Jul 12, 2001 09:03 UTC",Space Shuttle Atlantis | STS-104,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Jun 30, 2001 19:46 UTC",Delta II 7425-10C | WMAP,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Tue Jun 19, 2001 04:41 UTC",Atlas IIAS | ICO F2,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Jun 09, 2001 06:45 UTC",Ariane 44L | Intelsat 901,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Jun 08, 2001 15:08 UTC",Cosmos-3M (11K65M) | Cosmos 2378,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Fri May 18, 2001 17:45 UTC",Delta II 7925 | NROL-17 (GeoLITE),Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Tue May 08, 2001",Zenit-3 SL | XM-1,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Apr 19, 2001 18:40 UTC",Space Shuttle Endeavour | STS-100,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Apr 18, 2001 10:13 UTC",GSLV Mk I | GSAT-1,Partial Failure
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Apr 07, 2001 15:02 UTC",Delta II 7925 | Mars Odyssey,Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Mar 18, 2001 22:33 UTC",Zenit-3 SL | XM-2,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Mar 08, 2001 22:51 UTC",Ariane 5 G | Eurobird-1 & BSat-2a,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu Mar 08, 2001 11:42 UTC",Space Shuttle Discovery | STS-102,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Feb 27, 2001 21:20 UTC",Titan IV(401)B | Milstar DFS-4,Success
MITT,"Svobodny Cosmodrome, Russia","Tue Feb 20, 2001 08:48 UTC",Start-1 | Odin,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Wed Feb 07, 2001 23:13 UTC",Space Shuttle Atlantis | STS-98,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Feb 07, 2001 23:05 UTC","Ariane 44L | Sicral-1, Skynet 4F",Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Tue Jan 30, 2001 07:55 UTC",Delta II 7925 | GPS IIR-7,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Jan 10, 2001 22:09 UTC",Ariane 44P | Turksat 2A,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Tue Jan 09, 2001 17:00 UTC",Long March 2F | Shenzhou 2,Success
VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia","Wed Dec 27, 2000 18:56 UTC",Tsyklon-3 | Cosmos 2377 to 2379 & Gonets 7 to 9,Failure
CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Dec 20, 2000 16:20 UTC",Long March 3A | Beidou-1B,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Dec 20, 2000 00:26 UTC","Ariane 5 G | Astra 2D, GE-8, LDREX",Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Wed Dec 06, 2000 02:47 UTC",Atlas IIAS | NROL-10,Success
MITT,"Svobodny Cosmodrome, Russia","Tue Dec 05, 2000 12:32 UTC",Start-1 | EROS A,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu Nov 30, 2000 03:06 UTC",Space Shuttle Endeavour | STS-97,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Nov 21, 2000 23:56 UTC",Ariane 44L | Anik F1,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Nov 21, 2000 18:24 UTC",Delta II 7320-10C | EO-1 / SAC-C,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Mon Nov 20, 2000 23:00 UTC",Cosmos-3M (11K65M) | QuickBird-1,Failure
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Nov 16, 2000 01:07 UTC","Ariane 5 G | PanAmSat-1R, Amsat-P3D, STRV 1C, STRV 1D",Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Nov 10, 2000 17:14 UTC",Delta II 7925 | GPS IIR-6,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Oct 30, 2000 16:02 UTC",Long March 3A | Beidou-1A,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sun Oct 29, 2000 05:59 UTC",Ariane 44LP | EuropeStar F1,Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sat Oct 21, 2000 05:51 UTC",Zenit-3 SL | Thuraya 1,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Fri Oct 20, 2000 00:40 UTC",Atlas IIA | DSCS III-B11,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Wed Oct 11, 2000 23:17 UTC",Space Shuttle Discovery | STS-92,Success
Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA","Mon Oct 09, 2000 05:38 UTC",Pegasus | HETE 2,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Oct 06, 2000 23:00 UTC",Ariane 42L | N-SAT 110,Success
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Tue Sep 26, 2000 10:05 UTC",Dnepr | Megsat 1 & Others,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Mon Sep 25, 2000 10:10 UTC",Zenit-2 | Cosmos 2372,Success
Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Thu Sep 21, 2000 10:22 UTC",Titan II(23)G | NOAA-16,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Sep 14, 2000 22:54 UTC",Ariane 5 G | Astra 2B & GE-7,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Fri Sep 08, 2000 12:45 UTC",Space Shuttle Atlantis | STS-106,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Sep 06, 2000 22:33 UTC",Ariane 44P | Eutelsat W1,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Wed Aug 23, 2000 11:05 UTC",Delta III 8930 | DM F3,Success
Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Thu Aug 17, 2000 23:45 UTC",Titan IV(403)B | NROL-11 (Onyx),Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Aug 17, 2000 23:16 UTC","Ariane 44LP | Brasilsat B4, Nilesat 102",Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Fri Jul 28, 2000 22:41 UTC",Zenit-3 SL | PAS 9,Success
Northrop,"SLC-8, Vandenberg AFB, California, USA","Wed Jul 19, 2000 20:09 UTC",Minotaur I | MightySat 2.1,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Jul 16, 2000 09:17 UTC",Delta II 7925 | GPS IIR-5,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Sat Jul 15, 2000 12:00 UTC","Cosmos-3M (11K65M) | CHAMP, MITA & Rubin 1",Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Jul 14, 2000 05:21 UTC",Atlas IIAS | Echostar 6,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Fri Jun 30, 2000 12:56 UTC",Atlas IIA | TDRS-H,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Jun 28, 2000 10:37 UTC","Cosmos-3M (11K65M) | Nadiezhda n†­9, Tsinghua-1 & SNAP-1",Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Jun 25, 2000 11:50 UTC",Long March 3 | Fengyun-2B,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA","Wed Jun 07, 2000 13:19 UTC",Pegasus XL | TSX-5,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Wed May 24, 2000 23:10 UTC",Atlas IIIA | Eutelsat W4,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri May 19, 2000 10:11 UTC",Space Shuttle Atlantis | STS-101,Success
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue May 16, 2000 08:27 UTC",Rokot/Briz KM | SimSat 1 & 2 (Iridium),Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu May 11, 2000 01:48 UTC",Delta II 7925 | GPS IIR-4,Success
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon May 08, 2000 16:01 UTC",Titan IV(402)B | DSP,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Wed May 03, 2000 07:07 UTC",Atlas IIA | GOES-L,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Apr 19, 2000 00:29 UTC",Ariane 42L | Galaxy 4R,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Sat Mar 25, 2000 20:34 UTC",Delta II 7326 | IMAGE,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Mar 21, 2000 23:28 UTC",Ariane 5 G | INSAT-3B & AsiaStar,Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Mar 12, 2000 14:49 UTC",Zenit-3 SL | ICO F-1,Failure
Northrop,"SLC-576E, Vandenberg AFB, California, USA","Sun Mar 12, 2000 09:29 UTC",Minotaur C (Taurus) | Multispectral Thermal Imager (MTI),Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Thu Mar 02, 2000 09:26 UTC",Zenit-2 | Cosmos 2369,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 18, 2000 01:04 UTC",Ariane 44LP | Superbird 4,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Feb 11, 2000 16:43 UTC",Space Shuttle Endeavour | STS-99,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan","Thu Feb 10, 2000 01:30 UTC",Mu-V / M-24 | Astro E,Failure
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Tue Feb 08, 2000 21:24 UTC",Delta II 7920-10C | Globalstar 7,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Feb 03, 2000 23:30 UTC",Atlas IIAS | Hispasat 1C,Success
Northrop,"SLC-8, Vandenberg AFB, California, USA","Thu Jan 27, 2000 03:03 UTC",Minotaur I | JAWSat,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jan 25, 2000 16:45 UTC",Long March 3A | ChinaSat-22,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Jan 25, 2000 01:04 UTC",Ariane 42L | Galaxy 10R,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Fri Jan 21, 2000 01:03 UTC",Atlas IIA | DSCS IIIB-8,Success
Northrop,"SLC-576E, Vandenberg AFB, California, USA","Fri Dec 31, 1999 07:13 UTC",Minotaur C (Taurus) | KOMPSAT & ACRIMSAT,Success
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Mon Dec 27, 1999 19:12 UTC",Molniya-M /Block 2BL | Cosmos 2368,Success
VKS RF,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","Sun Dec 26, 1999 08:00 UTC",Tsyklon-2 | Cosmos 2367,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Dec 22, 1999 00:50 UTC",Ariane 44L | Galaxy-11,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Dec 20, 1999 00:50 UTC",Space Shuttle Discovery | STS-103,Success
Lockheed,"SLC-3E, Vandenberg AFB, California, USA","Sat Dec 18, 1999 18:57 UTC",Atlas IIAS | Terra,Success
Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Sun Dec 12, 1999 17:36 UTC",Titan II(23)G | USA-147,Success
AEB,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil","Sat Dec 11, 1999 19:40 UTC",VLS-1 | SACI-2,Failure
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Dec 10, 1999 14:32 UTC",Ariane 5 G | XMM-Newton,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA","Sat Dec 04, 1999 18:53 UTC",Pegasus XL/HAPS | Orbcomm D1-D8,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Dec 03, 1999 16:22 UTC",Ariane 40 | Helios 1B & Cl??mentine,Success
Lockheed,"SLC-36B, Cape Canaveral AFS, Florida, USA","Tue Nov 23, 1999 04:06 UTC",Atlas IIA | UHF F10,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Fri Nov 19, 1999 22:30 UTC",Long March 2F | Shenzhou 1,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon Nov 15, 1999 07:29 UTC",H-IIS | Himawari 6,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Nov 13, 1999 22:54 UTC",Ariane 44LP | GE-4,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Oct 19, 1999 06:22 UTC",Ariane 44LP | Orion 2,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China","Thu Oct 14, 1999 03:15 UTC",Long March 4B | CBERS-1 & SACI 1,Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Oct 10, 1999",Zenit-3 SL | DirecTV 1R,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Sep 25, 1999 06:29 UTC",Ariane 44LP | Telstar 7,Success
Lockheed,"SLC-6, Vandenberg AFB, California, USA","Fri Sep 24, 1999 18:21 UTC",Athena II | Ikonos 1,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Sep 23, 1999 06:02 UTC",Atlas IIAS | Echostar 5,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sat Sep 04, 1999 22:34 UTC",Ariane 42P | Koreasat-3,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Aug 26, 1999 12:02 UTC",Cosmos-3M (11K65M) | Cosmos 2366,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Tue Aug 17, 1999 04:37 UTC",Delta II 7420-10C | Globalstar 6,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Aug 12, 1999 22:52 UTC",Ariane 42P | Telkom-1,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sat Aug 07, 1999 12:51 UTC",Delta II 7925 | USA-145 (GPS IIR-3),Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Jul 25, 1999 07:46 UTC",Delta II 7420-10C | Globalstar 5,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Fri Jul 23, 1999 04:31 UTC",Space Shuttle Columbia | STS-93,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sat Jul 17, 1999 05:37 UTC",Zenit-2 | Okean-O n†­1,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Jul 10, 1999 08:45 UTC",Delta II 7420-10C | Globalstar 4,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Jul 08, 1999 08:45 UTC",Molniya-M /Block ML | Molniya-3 n†­169,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Thu Jun 24, 1999 15:44 UTC",Delta II 7320-10C | FUSE,Success
Lockheed,"SLC-4W, Vandenberg AFB, California, USA","Sun Jun 20, 1999 02:15 UTC",Titan II(23)G | QuikSCAT,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China","Fri Jun 11, 1999 17:15 UTC",Long March 2C | Iridium 92 & 93,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Jun 10, 1999 13:48 UTC",Delta II 7420-10C | Globalstar 3,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sat May 29, 1999 11:52 UTC","PSLV-G | IRS-P4, DLR-Tubsat, & Kitsat-3",Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu May 27, 1999 10:49 UTC",Space Shuttle Discovery | STS-96,Success
Lockheed,"SLC-4E, Vandenberg AFB, California, USA","Sat May 22, 1999 09:36 UTC",Titan IV(404)B | NROL-9 (Misty),Success
Northrop,"Stargazer, Vandenberg AFB, California, USA","Tue May 18, 1999 05:09 UTC",Pegasus XL/HAPS | TERRIERS & MUBLCOM,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China","Mon May 10, 1999 01:33 UTC",Long March 4B | Fengyun 1C & Shijian-5,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Wed May 05, 1999 01:00 UTC",Delta III 8930 | Orion 3,Failure
Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 30, 1999 16:30 UTC",Titan IV(401)B | Milstar DFS-3m,Failure
VKS RF,"Site 107/1, Kapustin Yar, Russia","Wed Apr 28, 1999",Cosmos-3M (11K65M) | ABRIXAS & Megsat 0,Success
Lockheed,"SLC-6, Vandenberg AFB, California, USA","Tue Apr 27, 1999 18:22 UTC",Athena II | Ikonos,Failure
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Wed Apr 21, 1999",Dnepr | UoSat 12,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Thu Apr 15, 1999 18:32 UTC",Delta II 7920-10 | Landsat 7,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Mon Apr 12, 1999 22:50 UTC",Atlas IIAS | Eutelsat W3,Success
Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Apr 09, 1999 17:01 UTC",Titan IV(402)B | DSP,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Apr 02, 1999 22:03 UTC",Ariane 42P | Insat-2E,Success
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Mar 28, 1999",Zenit-3 SL | DemoSat,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA","Fri Mar 05, 1999 02:56 UTC",Pegasus XL | WIRE,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Fri Feb 26, 1999 22:44 UTC","Ariane 44L | Arabsat-3A, Skynet 4E",Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Feb 23, 1999 10:29 UTC","Delta II 7920-10 | ARGOS (P91-1 ARGOS), ?örsted and SUNSAT",Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Feb 16, 1999 01:45 UTC",Atlas IIAS | JCSAT-6,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Sun Feb 07, 1999 21:04 UTC",Delta II 7426 | Stardust,Success
Lockheed,"SLC-46, Cape Canaveral AFS, Florida, USA","Wed Jan 27, 1999 00:34 UTC",Athena I | ROCSAT 1,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sun Jan 03, 1999 20:21 UTC",Delta II 7425 | Mars Polar Lander,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Dec 24, 1998 20:02 UTC",Cosmos-3M (11K65M) | Cosmos 2361,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Dec 22, 1998 01:08 UTC",Ariane 42L | Panamsat-6B,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China","Sat Dec 19, 1998 11:39 UTC",Long March 2C | Iridium 88 & 89,Success
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Dec 11, 1998 18:45 UTC",Delta II 7425 | Mars Climate Orbiter,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Thu Dec 10, 1998 11:57 UTC",Cosmos-3M (11K65M) | Nadiezhda n†­8 & Astrid 2,Success
Northrop,"Stargazer, Vandenberg AFB, California, USA","Sun Dec 06, 1998 00:57 UTC",Pegasus XL | SWAS,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Sun Dec 06, 1998 00:43 UTC",Ariane 42L | Satmex 5,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 04, 1998 08:35 UTC",Space Shuttle Endeavour | STS-88,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sun Nov 22, 1998 23:54 UTC",Delta II 7925 | BONUM-1,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Fri Nov 06, 1998 13:37 UTC",Delta II 7920-10C | MS-11,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA","Thu Oct 29, 1998 19:19 UTC",Space Shuttle Discovery | STS-95,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Oct 28, 1998 22:15 UTC","Ariane 44L | Afristar, GE-5",Success
Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA","Thu Oct 22, 1998 00:02 UTC",Pegasus | SCD-2,Success
ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Oct 21, 1998 16:37 UTC",Ariane 5 G | MaqSat 3 & ARD,Success
Lockheed,"SLC-36A, Cape Canaveral AFS, Florida, USA","Tue Oct 20, 1998 07:19 UTC",Atlas IIA | UHF F9,Success
ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA","Fri Oct 09, 1998 22:50 UTC",Atlas IIA | Hot Bird 5,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Mon Oct 05, 1998 22:51 UTC","Ariane 44L | Eutelsat W2, Sirius-3",Success
Northrop,"SLC-576E, Vandenberg AFB, California, USA","Sat Oct 03, 1998 10:04 UTC",Minotaur C (Taurus) | STEX (NROL-8),Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Mon Sep 28, 1998 23:41 UTC",Molniya-M /Block ML | Molniya-1T n†­168,Success
Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Wed Sep 23, 1998 05:06 UTC",Pegasus XL/HAPS | Orbcomm C1 - C8,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Wed Sep 16, 1998 06:31 UTC",Ariane 44LP | Panamsat-7,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Sep 09, 1998 20:29 UTC",Zenit-2 | Globalstar Satellites,Failure
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Tue Sep 08, 1998 21:13 UTC",Delta II 7920-10C | MS-10,Success
KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Mon Aug 31, 1998 03:07 UTC",Taepodong-1 | Kwangmyngsng 1,Failure
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Aug 27, 1998 01:17 UTC",Delta III 8930 | Galaxy 10,Failure
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Tue Aug 25, 1998 23:07 UTC",Ariane 44P | ST-1,Success
Boeing,"SLC-2W, Vandenberg AFB, California, USA","Mon Aug 24, 1998 12:08 UTC",Delta II 7920-10C | Deep Space 1,Success
CASC,"LC-7, Taiyuan Satellite Launch Center, China","Wed Aug 19, 1998 23:01 UTC",Long March 2C | Iridium 76 & 78,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","Wed Aug 12, 1998 12:53 UTC",Molniya-M /Block ML | Molniya-1 n†­133,Success
Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Aug 12, 1998 11:30 UTC",Titan IV(401)A | NROL-7 (Mercury),Failure
Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA","Sun Aug 02, 1998 16:24 UTC",Pegasus XL/HAPS | Orbcomm B1 - B8,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Tue Jul 28, 1998 09:15 UTC",Zenit-2 | Cosmos 2360,Success
VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Fri Jul 10, 1998 06:30 UTC",Zenit-2 | Resurs-O1 n†­4 & Others,Success
SRC,"K-407 Submarine, Barents Sea Launch Area, Barents Sea","Tue Jul 07, 1998 03:15 UTC",Shtil' | Tubsat,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan","Fri Jul 03, 1998 18:12 UTC",Mu-V / M-24 | Nozomi,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Jul 01, 1998 00:48 UTC",Molniya-M /Block ML | Molniya-3 n†­167,Success
ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Jun 18, 1998 22:48 UTC",Atlas IIAS | Intelsat 805,Success
